date,mode,pcs
1981-05-17,0,268.03955
1981-05-17,1,752.0496
1981-05-17,2,379.5347
1981-05-17,3,-549.0672
1981-05-17,4,46.396355
1981-05-17,5,71.835915
1981-05-17,6,-223.07965
1981-05-17,7,-88.36902
1981-05-17,8,127.975975
1981-05-17,9,68.981316
1981-05-18,0,519.6766
1981-05-18,1,542.28564
1981-05-18,2,43.631332
1981-05-18,3,-202.45114
1981-05-18,4,202.73155
1981-05-18,5,65.60843
1981-05-18,6,-425.45972
1981-05-18,7,23.421818
1981-05-18,8,-185.36928
1981-05-18,9,29.94688
1981-05-19,0,412.86127
1981-05-19,1,717.8371
1981-05-19,2,-192.53906
1981-05-19,3,-158.96631
1981-05-19,4,150.69073
1981-05-19,5,-197.48277
1981-05-19,6,-384.01138
1981-05-19,7,-154.9232
1981-05-19,8,-319.2991
1981-05-19,9,-105.64276
1981-05-20,0,283.76587
1981-05-20,1,841.3785
1981-05-20,2,-267.9694
1981-05-20,3,-248.63008
1981-05-20,4,92.92215
1981-05-20,5,-438.60855
1981-05-20,6,-77.54781
1981-05-20,7,-163.37497
1981-05-20,8,3.2939343
1981-05-20,9,-140.0316
1981-05-21,0,80.84247
1981-05-21,1,677.41315
1981-05-21,2,-172.06937
1981-05-21,3,-429.99377
1981-05-21,4,92.15798
1981-05-21,5,-136.08368
1981-05-21,6,75.22031
1981-05-21,7,-4.591662
1981-05-21,8,218.28172
1981-05-21,9,-178.3646
1981-05-22,0,103.22582
1981-05-22,1,435.49985
1981-05-22,2,-3.1036863
1981-05-22,3,-471.15424
1981-05-22,4,-129.61142
1981-05-22,5,328.45474
1981-05-22,6,195.62082
1981-05-22,7,52.806107
1981-05-22,8,-32.963764
1981-05-22,9,-151.96579
1981-05-23,0,70.48151
1981-05-23,1,149.36125
1981-05-23,2,9.076633
1981-05-23,3,-567.86725
1981-05-23,4,-95.39634
1981-05-23,5,362.63324
1981-05-23,6,246.4164
1981-05-23,7,-111.69652
1981-05-23,8,-371.28577
1981-05-23,9,64.56412
1981-05-24,0,37.13996
1981-05-24,1,-47.011486
1981-05-24,2,93.10537
1981-05-24,3,-477.55438
1981-05-24,4,-162.64536
1981-05-24,5,202.26096
1981-05-24,6,136.82855
1981-05-24,7,-92.90428
1981-05-24,8,-337.53955
1981-05-24,9,153.03508
1981-05-25,0,-61.075882
1981-05-25,1,-89.34617
1981-05-25,2,189.39673
1981-05-25,3,-158.8074
1981-05-25,4,-191.48895
1981-05-25,5,35.304523
1981-05-25,6,-114.78924
1981-05-25,7,-14.176054
1981-05-25,8,-260.92157
1981-05-25,9,73.51485
1981-05-26,0,-80.88421
1981-05-26,1,-52.098816
1981-05-26,2,159.22977
1981-05-26,3,65.46271
1981-05-26,4,-130.44647
1981-05-26,5,-226.21397
1981-05-26,6,-199.29883
1981-05-26,7,43.58332
1981-05-26,8,-139.6817
1981-05-26,9,3.062045
1981-05-27,0,-100.80298
1981-05-27,1,-48.744347
1981-05-27,2,21.232752
1981-05-27,3,-71.04912
1981-05-27,4,-40.27153
1981-05-27,5,-415.51614
1981-05-27,6,-75.59986
1981-05-27,7,42.0474
1981-05-27,8,33.291233
1981-05-27,9,-94.50612
1981-05-28,0,-98.32992
1981-05-28,1,-271.86807
1981-05-28,2,-43.90361
1981-05-28,3,-229.3451
1981-05-28,4,-67.41826
1981-05-28,5,-247.46504
1981-05-28,6,136.76854
1981-05-28,7,58.453648
1981-05-28,8,271.7002
1981-05-28,9,45.509598
1981-05-29,0,-47.044903
1981-05-29,1,-446.79053
1981-05-29,2,-23.80387
1981-05-29,3,-220.5501
1981-05-29,4,-53.77715
1981-05-29,5,-13.460966
1981-05-29,6,241.56108
1981-05-29,7,66.44939
1981-05-29,8,233.70563
1981-05-29,9,48.77079
1981-05-30,0,88.61316
1981-05-30,1,-380.29633
1981-05-30,2,139.42831
1981-05-30,3,-34.71132
1981-05-30,4,6.0439563
1981-05-30,5,-69.99217
1981-05-30,6,30.63176
1981-05-30,7,63.404263
1981-05-30,8,-78.67723
1981-05-30,9,215.15674
1981-05-31,0,185.41666
1981-05-31,1,-210.64386
1981-05-31,2,234.12613
1981-05-31,3,157.57468
1981-05-31,4,134.57622
1981-05-31,5,-102.209946
1981-05-31,6,-138.12968
1981-05-31,7,205.30049
1981-05-31,8,56.40921
1981-05-31,9,179.85378
1981-06-01,0,214.98792
1981-06-01,1,-41.86941
1981-06-01,2,176.92882
1981-06-01,3,0.37993225
1981-06-01,4,380.1316
1981-06-01,5,72.41768
1981-06-01,6,-192.53093
1981-06-01,7,277.35074
1981-06-01,8,98.811935
1981-06-01,9,-48.23667
1982-05-17,0,-346.31726
1982-05-17,1,-50.921886
1982-05-17,2,-13.023501
1982-05-17,3,-325.03137
1982-05-17,4,-136.2441
1982-05-17,5,111.83627
1982-05-17,6,-124.481926
1982-05-17,7,123.524376
1982-05-17,8,-236.92227
1982-05-17,9,-33.952656
1982-05-18,0,-336.82492
1982-05-18,1,308.99954
1982-05-18,2,-55.719368
1982-05-18,3,-183.55379
1982-05-18,4,-229.1952
1982-05-18,5,0.3804732
1982-05-18,6,-123.13876
1982-05-18,7,118.04091
1982-05-18,8,-397.4094
1982-05-18,9,-33.146164
1982-05-19,0,-216.77449
1982-05-19,1,235.15692
1982-05-19,2,156.67645
1982-05-19,3,-208.00645
1982-05-19,4,-131.24747
1982-05-19,5,-88.76257
1982-05-19,6,57.361748
1982-05-19,7,166.98428
1982-05-19,8,-112.714
1982-05-19,9,48.989265
1982-05-20,0,-5.5474463
1982-05-20,1,-68.01278
1982-05-20,2,136.01054
1982-05-20,3,-160.15202
1982-05-20,4,48.05232
1982-05-20,5,-93.26474
1982-05-20,6,-41.60024
1982-05-20,7,185.22594
1982-05-20,8,105.582756
1982-05-20,9,37.36919
1982-05-21,0,183.04857
1982-05-21,1,-65.00185
1982-05-21,2,-93.22287
1982-05-21,3,-175.87767
1982-05-21,4,96.5351
1982-05-21,5,28.89377
1982-05-21,6,-182.26031
1982-05-21,7,90.492966
1982-05-21,8,-82.40752
1982-05-21,9,-166.71614
1982-05-22,0,32.407093
1982-05-22,1,-121.96224
1982-05-22,2,-83.42047
