date,mode,pcs
1985-05-21,0,-436.49246
1985-05-21,1,-178.41798
1985-05-21,2,361.42395
1985-05-21,3,-293.2548
1985-05-21,4,0.031135133
1985-05-28,0,-250.99638
1985-05-28,1,437.58148
1985-05-28,2,45.121075
1985-05-28,3,166.90929
1985-05-28,4,-160.64272
1985-05-30,0,-78.12879
1985-05-30,1,657.2796
1985-05-30,2,81.56095
1985-05-30,3,102.74606
1985-05-30,4,-37.4356
1986-05-17,0,393.23584
1986-05-17,1,-459.14496
1986-05-17,2,399.50745
1986-05-17,3,-38.27914
1986-05-17,4,182.72414
1986-05-25,0,-65.54056
1986-05-25,1,-546.8245
1986-05-25,2,-206.91583
1986-05-25,3,83.3638
1986-05-25,4,193.16057
1987-05-19,0,418.36707
1987-05-19,1,398.8787
1987-05-19,2,-48.220226
1987-05-19,3,-283.85828
1987-05-19,4,76.81139
1987-05-20,0,671.1564
1987-05-20,1,453.46127
1987-05-20,2,15.121468
1987-05-20,3,-328.86368
1987-05-20,4,308.2458
1987-05-25,0,716.93744
1987-05-25,1,258.35458
1987-05-25,2,12.735541
1987-05-25,3,-156.82343
1987-05-25,4,96.703384
1987-05-26,0,961.08295
1987-05-26,1,500.0486
1987-05-26,2,81.77141
1987-05-26,3,-287.60742
1987-05-26,4,290.2918
1987-05-29,0,819.64105
1987-05-29,1,64.45926
1987-05-29,2,275.7657
1987-05-29,3,-130.87244
1987-05-29,4,252.71667
1987-05-30,0,739.30786
1987-05-30,1,-1.8983705
1987-05-30,2,154.81848
1987-05-30,3,-35.531483
1987-05-30,4,122.07827
1988-05-20,0,320.9158
1988-05-20,1,-352.67825
1988-05-20,2,130.03046
1988-05-20,3,129.0846
1988-05-20,4,762.75336
1988-05-31,0,796.9373
1988-05-31,1,422.9623
1988-05-31,2,-102.737526
1988-05-31,3,-229.47003
1988-05-31,4,646.6113
1989-05-17,0,266.58948
1989-05-17,1,150.41995
1989-05-17,2,49.559772
1989-05-17,3,6.284429
1989-05-17,4,856.59155
1989-05-19,0,848.85504
1989-05-19,1,-6.4418435
1989-05-19,2,179.81439
1989-05-19,3,479.98984
1989-05-19,4,224.83563
1989-05-22,0,-131.27005
1989-05-22,1,44.672447
1989-05-22,2,-21.647366
1989-05-22,3,358.7637
1989-05-22,4,-454.0526
1990-05-19,0,-559.8085
1990-05-19,1,909.818
1990-05-19,2,260.2823
1990-05-19,3,-178.16272
