date,mode,pcs
1981-05-17,0,268.03964
1981-05-17,1,752.04956
1981-05-17,2,379.53464
1981-05-17,3,-549.0671
1981-05-17,4,46.396217
1981-05-18,0,519.6767
1981-05-18,1,542.2856
1981-05-18,2,43.63123
1981-05-18,3,-202.45102
1981-05-18,4,202.73141
1981-05-19,0,412.8614
1981-05-19,1,717.837
1981-05-19,2,-192.53914
1981-05-19,3,-158.96619
1981-05-19,4,150.6906
1981-05-20,0,283.76596
1981-05-20,1,841.3784
1981-05-20,2,-267.96948
1981-05-20,3,-248.62997
1981-05-20,4,92.92201
1981-05-21,0,80.842575
1981-05-21,1,677.4131
1981-05-21,2,-172.06946
1981-05-21,3,-429.99362
1981-05-21,4,92.15784
1981-05-22,0,103.22594
1981-05-22,1,435.49982
1981-05-22,2,-3.1037734
1981-05-22,3,-471.15408
1981-05-22,4,-129.61156
1981-05-23,0,70.48162
1981-05-23,1,149.36122
1981-05-23,2,9.076543
1981-05-23,3,-567.8671
1981-05-23,4,-95.396484
1981-05-24,0,37.14009
1981-05-24,1,-47.011524
1981-05-24,2,93.10527
1981-05-24,3,-477.5543
1981-05-24,4,-162.64552
1981-05-25,0,-61.075768
1981-05-25,1,-89.346214
1981-05-25,2,189.39664
1981-05-25,3,-158.80727
1981-05-25,4,-191.48909
1981-05-26,0,-80.8841
1981-05-26,1,-52.098873
1981-05-26,2,159.22968
1981-05-26,3,65.462845
1981-05-26,4,-130.4466
1981-05-27,0,-100.80287
1981-05-27,1,-48.744404
1981-05-27,2,21.232664
1981-05-27,3,-71.04899
1981-05-27,4,-40.271652
1981-05-28,0,-98.3298
1981-05-28,1,-271.8681
1981-05-28,2,-43.903694
1981-05-28,3,-229.34496
1981-05-28,4,-67.418396
1981-05-29,0,-47.044777
1981-05-29,1,-446.79056
1981-05-29,2,-23.80396
1981-05-29,3,-220.54997
1981-05-29,4,-53.777283
1981-05-30,0,88.61327
1981-05-30,1,-380.29636
1981-05-30,2,139.42822
1981-05-30,3,-34.71119
1981-05-30,4,6.043817
1981-05-31,0,185.41676
1981-05-31,1,-210.64392
1981-05-31,2,234.12604
1981-05-31,3,157.5748
1981-05-31,4,134.5761
1981-06-01,0,214.988
1981-06-01,1,-41.869465
1981-06-01,2,176.92873
1981-06-01,3,0.38004872
1981-06-01,4,380.13144
