date,mode,pcs
1981-05-17,0,555.56384
1981-05-17,1,1069.7195
1981-05-17,2,-3696.5154
1981-05-17,3,-2514.405
1981-05-17,4,270.2583
1981-05-17,5,-4808.4033
1981-05-17,6,492.56
1981-05-17,7,1478.8506
1981-05-17,8,30.461548
1981-05-17,9,158.01588
1981-05-18,0,3899.5967
1981-05-18,1,342.88162
1981-05-18,2,-2168.3555
1981-05-18,3,-4142.9463
1981-05-18,4,-1260.0911
1981-05-18,5,-3427.0693
1981-05-18,6,-1565.0742
1981-05-18,7,1878.4105
1981-05-18,8,-1091.0101
1981-05-18,9,1639.487
1981-05-19,0,2141.3982
1981-05-19,1,-2879.762
1981-05-19,2,-2544.4717
1981-05-19,3,-1868.4598
1981-05-19,4,-3286.978
1981-05-19,5,-660.021
1981-05-19,6,-353.39383
1981-05-19,7,-170.00742
1981-05-19,8,-2194.4246
1981-05-19,9,1386.0667
1981-05-20,0,387.47208
1981-05-20,1,-2458.4656
1981-05-20,2,-3964.5796
1981-05-20,3,1118.4392
1981-05-20,4,-1164.7338
1981-05-20,5,1343.4313
1981-05-20,6,1406.6138
1981-05-20,7,-1258.6434
1981-05-20,8,-618.47363
1981-05-20,9,-318.79062
1981-05-21,0,-269.44766
1981-05-21,1,1100.3329
1981-05-21,2,-3256.9275
1981-05-21,3,3062.693
1981-05-21,4,963.634
1981-05-21,5,1341.5144
1981-05-21,6,873.5157
1981-05-21,7,-1272.1626
1981-05-21,8,1125.2157
1981-05-21,9,294.63794
1981-05-22,0,-2755.905
1981-05-22,1,2880.4653
1981-05-22,2,-1854.2303
1981-05-22,3,2387.9717
1981-05-22,4,4485.207
1981-05-22,5,647.3274
1981-05-22,6,-504.46512
1981-05-22,7,-108.45335
1981-05-22,8,1223.7985
1981-05-22,9,707.9484
1981-05-23,0,-3003.3315
1981-05-23,1,2766.929
1981-05-23,2,-143.86638
1981-05-23,3,-397.1298
1981-05-23,4,2891.4968
1981-05-23,5,980.6425
1981-05-23,6,-1500.8989
1981-05-23,7,2515.885
1981-05-23,8,1013.76135
1981-05-23,9,-412.23297
1981-05-24,0,-1728.474
1981-05-24,1,642.66095
1981-05-24,2,729.30457
1981-05-24,3,-1129.6619
1981-05-24,4,-794.0076
1981-05-24,5,26.993216
1981-05-24,6,-1607.2432
1981-05-24,7,2324.8315
1981-05-24,8,-276.21313
1981-05-24,9,-361.77072
1981-05-25,0,-2244.889
1981-05-25,1,92.976364
1981-05-25,2,637.6776
1981-05-25,3,1352.2504
1981-05-25,4,-1856.5126
1981-05-25,5,69.78653
1981-05-25,6,-1108.1068
1981-05-25,7,1096.2839
1981-05-25,8,-794.023
1981-05-25,9,-472.32773
1981-05-26,0,-1701.3121
1981-05-26,1,-160.09178
1981-05-26,2,1193.741
1981-05-26,3,776.25305
1981-05-26,4,-1674.4481
1981-05-26,5,-1160.3724
1981-05-26,6,462.97675
1981-05-26,7,-186.68436
1981-05-26,8,-1258.4258
1981-05-26,9,97.82561
1981-05-27,0,-1086.0162
1981-05-27,1,350.89014
1981-05-27,2,271.6106
1981-05-27,3,-1955.894
1981-05-27,4,-1199.1713
1981-05-27,5,-954.5081
1981-05-27,6,1386.2523
1981-05-27,7,-715.9759
1981-05-27,8,-1316.4515
1981-05-27,9,-225.46535
1981-05-28,0,-1485.2112
1981-05-28,1,239.49333
1981-05-28,2,838.0785
1981-05-28,3,-1993.0444
1981-05-28,4,-41.844353
1981-05-28,5,308.38248
1981-05-28,6,894.25806
1981-05-28,7,-864.0074
1981-05-28,8,-609.4184
1981-05-28,9,258.1813
1981-05-29,0,-3325.1633
1981-05-29,1,-333.1074
1981-05-29,2,1447.427
1981-05-29,3,-1480.9707
1981-05-29,4,259.9685
1981-05-29,5,1126.7203
1981-05-29,6,-270.14667
1981-05-29,7,-26.74227
1981-05-29,8,-489.61935
1981-05-29,9,753.00885
1981-05-30,0,-4183.7
1981-05-30,1,-2443.2615
1981-05-30,2,3143.4915
1981-05-30,3,-227.98125
1981-05-30,4,-1299.6862
1981-05-30,5,1062.1309
1981-05-30,6,-161.30986
1981-05-30,7,-139.16809
1981-05-30,8,524.07367
1981-05-30,9,1192.9718
1981-05-31,0,-2467.7244
1981-05-31,1,-2113.8376
1981-05-31,2,-679.8002
1981-05-31,3,276.0953
1981-05-31,4,698.7739
1981-05-31,5,-977.01666
1981-05-31,6,1028.7719
1981-05-31,7,-1834.2078
1981-05-31,8,-1327.3184
1981-05-31,9,-163.66302
1981-06-01,0,-1592.4062
1981-06-01,1,1371.6442
1981-06-01,2,-1848.0769
1981-06-01,3,-21.758533
1981-06-01,4,523.48883
1981-06-01,5,32.503277
1981-06-01,6,1425.084
1981-06-01,7,447.31955
1981-06-01,8,-1859.8839
1981-06-01,9,-944.5345
1982-05-17,0,4235.964
