date,tor
1985-05-16,False
1985-05-17,False
1985-05-18,False
1985-05-19,False
1985-05-20,True
1985-05-21,False
1985-05-22,False
1985-05-23,False
1985-05-24,False
1985-05-25,False
1985-05-26,True
1985-05-27,True
1985-05-28,True
1985-05-29,True
1985-05-30,True
1985-05-31,False
1986-05-16,True
1986-05-17,False
1986-05-18,False
1986-05-19,False
1986-05-20,False
1986-05-21,False
1986-05-22,False
1986-05-23,False
1986-05-24,True
1986-05-25,False
1986-05-26,False
1986-05-27,False
1986-05-28,False
1986-05-29,False
1986-05-30,False
1986-05-31,False
1987-05-16,False
1987-05-17,True
1987-05-18,True
1987-05-19,True
1987-05-20,False
1987-05-21,False
1987-05-22,False
1987-05-23,False
1987-05-24,True
1987-05-25,True
1987-05-26,True
1987-05-27,True
1987-05-28,True
1987-05-29,True
1987-05-30,True
1987-05-31,True
1988-05-16,False
1988-05-17,False
1988-05-18,False
1988-05-19,True
1988-05-20,True
1988-05-21,False
1988-05-22,False
1988-05-23,False
1988-05-24,False
1988-05-25,False
1988-05-26,False
1988-05-27,False
1988-05-28,False
1988-05-29,False
1988-05-30,True
1988-05-31,False
1989-05-16,True
1989-05-17,False
1989-05-18,True
1989-05-19,False
1989-05-20,False
1989-05-21,True
1989-05-22,False
1989-05-23,False
1989-05-24,True
1989-05-25,False
1989-05-26,False
1989-05-27,False
1989-05-28,False
1989-05-29,False
1989-05-30,True
1989-05-31,False
1990-05-16,False
1990-05-17,False
1990-05-18,True
1990-05-19,False
1990-05-20,False
1990-05-21,False
1990-05-22,False
1990-05-23,False
1990-05-24,True
1990-05-25,True
1990-05-26,True
1990-05-27,True
1990-05-28,False
1990-05-29,True
1990-05-30,False
1990-05-31,True
1991-05-16,True
1991-05-17,True
1991-05-18,False
1991-05-19,False
1991-05-20,False
1991-05-21,False
1991-05-22,True
1991-05-23,True
1991-05-24,False
1991-05-25,True
1991-05-26,True
1991-05-27,True
1991-05-28,True
1991-05-29,True
1991-05-30,True
1991-05-31,False
1992-05-16,True
1992-05-17,False
1992-05-18,False
1992-05-19,False
1992-05-20,False
1992-05-21,False
1992-05-22,True
1992-05-23,False
1992-05-24,True
1992-05-25,False
1992-05-26,False
1992-05-27,True
1992-05-28,False
1992-05-29,False
1992-05-30,False
1992-05-31,True
1993-05-16,False
1993-05-17,True
1993-05-18,False
1993-05-19,False
1993-05-20,False
1993-05-21,False
1993-05-22,True
1993-05-23,False
1993-05-24,False
1993-05-25,False
1993-05-26,False
1993-05-27,False
1993-05-28,False
1993-05-29,False
1993-05-30,False
1993-05-31,False
1994-05-16,False
1994-05-17,False
1994-05-18,False
1994-05-19,False
1994-05-20,False
1994-05-21,False
1994-05-22,False
1994-05-23,False
1994-05-24,False
1994-05-25,True
1994-05-26,True
1994-05-27,False
1994-05-28,False
1994-05-29,True
1994-05-30,False
1994-05-31,False
1995-05-16,True
1995-05-17,True
1995-05-18,False
1995-05-19,False
1995-05-20,False
1995-05-21,True
1995-05-22,True
1995-05-23,False
1995-05-24,False
1995-05-25,False
1995-05-26,True
1995-05-27,True
1995-05-28,False
1995-05-29,False
1995-05-30,False
1995-05-31,True
1996-05-16,False
1996-05-17,True
1996-05-18,True
1996-05-19,False
1996-05-20,False
1996-05-21,False
1996-05-22,True
1996-05-23,False
1996-05-24,True
1996-05-25,True
1996-05-26,True
1996-05-27,True
1996-05-28,False
1996-05-29,False
1996-05-30,True
1996-05-31,True
1997-05-16,False
1997-05-17,False
1997-05-18,True
1997-05-19,False
1997-05-20,False
1997-05-21,False
1997-05-22,False
1997-05-23,False
1997-05-24,False
1997-05-25,True
1997-05-26,True
1997-05-27,True
1997-05-28,False
1997-05-29,True
1997-05-30,False
1997-05-31,False
1998-05-16,False
1998-05-17,True
1998-05-18,False
1998-05-19,True
1998-05-20,False
1998-05-21,True
1998-05-22,True
1998-05-23,False
1998-05-24,True
1998-05-25,False
1998-05-26,True
1998-05-27,False
1998-05-28,True
1998-05-29,False
1998-05-30,True
1998-05-31,False
1999-05-16,True
1999-05-17,False
1999-05-18,False
1999-05-19,False
1999-05-20,True
1999-05-21,False
1999-05-22,True
1999-05-23,False
1999-05-24,False
1999-05-25,True
1999-05-26,False
1999-05-27,False
1999-05-28,False
1999-05-29,False
1999-05-30,True
1999-05-31,True
2000-05-16,False
2000-05-17,True
2000-05-18,False
2000-05-19,False
2000-05-20,False
2000-05-21,False
2000-05-22,False
2000-05-23,False
2000-05-24,False
2000-05-25,True
2000-05-26,True
2000-05-27,True
2000-05-28,False
2000-05-29,False
2000-05-30,True
2000-05-31,False
2001-05-16,False
2001-05-17,False
2001-05-18,False
2001-05-19,False
2001-05-20,True
2001-05-21,False
